Status,Due.Date,Contract.Type,Quantity,Size,Shape,Base.Cost,Color,Sales.Price,Market,Plant,Market.Price,Quote.Key
won,11/4/16,Fixed Long,126,medium,round,207.2,red,250.67,Automotive,Ohio,168.35,Quote1
won,11/4/16,Fixed Long,24,large,round,207.2,red,259.42,Automotive,Ohio,168.35,Quote2
won,11/4/16,Fixed Long,16,large,round,207.2,red,259.42,Automotive,Ohio,168.35,Quote3
won,11/4/16,Fixed Long,4,medium,round,207.2,red,259.42,Automotive,Ohio,168.35,Quote4
won,11/4/16,Fixed Long,28,large,round,207.2,red,259.42,Automotive,Ohio,168.35,Quote5
won,11/4/16,Fixed Long,749,medium,round,207.2,red,259.42,Automotive,Ohio,168.35,Quote6
won,11/4/16,Fixed Long,0,large,round,207.2,red,269.57,Automotive,Ohio,168.35,Quote7
won,11/4/16,Fixed Long,0,large,round,207.2,red,269.57,Automotive,Ohio,168.35,Quote8
won,11/4/16,Fixed Long,252,large,round,207.2,red,278.32,Automotive,Ohio,168.35,Quote9
won,11/4/16,Fixed Long,21,medium,round,207.2,red,277.34,Automotive,Ohio,168.35,Quote10
won,11/4/16,Fixed Long,234,large,round,207.2,red,278.32,Automotive,Ohio,168.35,Quote11
won,11/4/16,Fixed Long,130,large,round,207.2,red,262.92,Automotive,Ohio,168.35,Quote12
won,10/24/16,Fixed Medium,4800,medium,round,157.5,red,203.7,Automotive,Ohio,165.55,Quote13
lost,6/22/17,Fixed Medium,400,medium,round,201.95,red,244.65,Construction,Ohio,211.75,Quote14
won,6/23/17,Fixed Medium,68,medium,round,217,red,259.7,Construction,Illinois,211.75,Quote15
won,6/23/17,Fixed Medium,32,medium,round,217,red,259.7,Construction,Illinois,211.75,Quote16
won,6/23/17,Fixed Medium,60,large,round,217,red,259.7,Construction,Illinois,211.75,Quote17
won,6/23/17,Fixed Medium,20,large,round,217,red,259.7,Construction,Illinois,211.75,Quote18
won,6/23/17,Fixed Medium,40,large,round,217,red,259.7,Construction,Illinois,211.75,Quote19
won,6/23/17,Fixed Medium,44,large,round,217,red,264.95,Construction,Illinois,211.75,Quote20
won,6/23/17,Fixed Medium,12,large,round,217,red,259.7,Construction,Illinois,211.75,Quote21
won,6/23/17,Fixed Medium,12,large,round,217,red,262.15,Construction,Illinois,211.75,Quote22
won,6/23/17,Fixed Medium,8,large,round,217,red,259.7,Automotive,Illinois,211.75,Quote23
won,6/23/17,Fixed Medium,8,large,round,217,red,259.7,Construction,Illinois,211.75,Quote24
won,5/1/17,Fixed Short,18,medium,round,218.05,red,254.45,Construction,Ohio,219.45,Quote25
lost,6/2/17,Variable Long,320,large,round,207.9,red,234.85,Furniture,Indiana,202.65,Quote26
lost,6/2/17,Variable Long,320,medium,round,207.9,red,238.35,Furniture,Indiana,202.65,Quote27
lost,6/2/17,Variable Long,200,medium,round,207.9,red,248.85,Furniture,Indiana,202.65,Quote28
lost,5/22/17,Variable Medium,36,large,round,218.05,red,293.51,Automotive,Indiana,211.75,Quote29
lost,5/22/17,Variable Medium,10,large,round,218.05,red,293.51,Automotive,Indiana,211.75,Quote30
won,2/24/17,Variable Short,56,large,round,143.5,red,204.33,Automotive,New York,213.85,Quote31
